State,x,y
J & K,-139,331
Himachal Pradesh,-125,264
Punjab,-169,239
Uttarakhand,-77,212
Haryana,-149,188
New Delhi,-127,169
Uttar Pradesh,-31,113
Bihar,101,86
Sikkim,158,146
Assam,262,121
Meghalaya,227,91
Arunachal Pradesh,293,167
Mizoram,277,28
Tripura,242,38
Manipur,297,73
Nagaland,308,116
West Bengal,147,10
Jharkhand,79,18
Madhya Pradesh,-98,10
Gujarat,-273,8
Maharashtra,-177,-98
Chattisgarh,-2,-43
Odisha,69,-64
Andhra Pradesh,-77,-220
Telangana,-80,-145
Karnataka,-175,-233
Goa,-225,-209
Kerala,-153,-364
Tamil Nadu,-120,-364
Rajasthan,-224,119